Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Codes régions;Pays;Objectifs sur budget ventilé;Valeur
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Equipement de laboratoires (%);1.59
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Opérations immobilières;53.58
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Equipement de laboratoires;2.6
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Hauts-de-France;R32;;Tous objectifs;8.66
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Hauts-de-France;R32;;Tous objectifs;6.08
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Hauts-de-France;R32;;Tous objectifs;13.21
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Île-de-France;R11;;Tous objectifs;8.08
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Île-de-France;R11;;Tous objectifs;25.48
2015;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Projets de la recherche publique (%);8.0
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Aides aux chercheurs;16.19
2015;Conseils départementaux;0;Budget R&T;;Hauts-de-France;R32;;Tous objectifs;2.31
2015;Communes et EPCI;0;Budget R&T;;Île-de-France;R11;;Tous objectifs;10.27
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;R11;;Tous objectifs;0.0
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Grand Est;R44;;Tous objectifs;2.61
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;44.27
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;20.79
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Culture et information scientifique (%);2.11
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;2.01
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Culture et information scientifique;2.01
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Equipement de laboratoires (%);5.28
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Equipement de laboratoires;5.03
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Aides aux chercheurs (%);11.0
2015;Conseils départementaux;0;Budget R&T;;Grand Est;R44;;Tous objectifs;9.68
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Normandie;R28;;Tous objectifs;2.44
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;25.95
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;14.89
2015;Collectivités territoriales;1;Budget R&T;;Normandie;R28;;Culture et information scientifique (%);2.56
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;3.52
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Projets de la recherche publique;13.73
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Transferts de technologie;17.5
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Réseaux haut débit;1.99
2015;Collectivités territoriales;1;Budget R&T;;Normandie;R28;;Budget non ventilé (%);0.0
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Budget non ventilé;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Guadeloupe;R01;;Tous objectifs;0.0
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Guadeloupe;R01;;Tous objectifs;0.08
2015;Collectivités territoriales;0;Budget R&T;;Guadeloupe;R01;;Projets de la recherche publique;0.55
2015;Collectivités territoriales;1;Budget R&T;;Guadeloupe;R01;;Equipement de laboratoires (%);4.76
2015;Collectivités territoriales;1;Budget R&T;;Guadeloupe;R01;;Transferts de technologie (%);15.7
2015;Collectivités territoriales;0;Budget R&T;;Guadeloupe;R01;;Equipement de laboratoires;0.08
2015;Communes et EPCI;0;Budget R&T;;Guadeloupe;R01;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Grand Est;R44;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Corse;R94;;Tous objectifs;23.79
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bretagne;R53;;Tous objectifs;14.56
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;2.32
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;2.27
2015;Collectivités territoriales;1;Budget R&T;;Corse;R94;;Projets de la recherche publique (%);17.67
2015;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;R24;;Aides aux chercheurs;6.39
2015;Collectivités territoriales;0;Budget R&T;;Corse;R94;;Transferts de technologie;0.2
2015;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Aides aux chercheurs;9.36
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Auvergne-Rhône-Alpes;R84;;Tous objectifs;11.46
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne-Franche-Comté;R27;;Tous objectifs;2.97
2015;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Bourgogne-Franche-Comté;R27;;Tous objectifs;13.63
2015;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Culture et information scientifique;1.43
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Projets de la recherche publique (%);0.13
2015;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Transferts de technologie (%);31.02
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Transferts de technologie;68.63
2015;Collectivités territoriales;0;Budget R&T;;Bretagne;R53;;Projets de la recherche publique;1.75
2015;Collectivités territoriales;0;Budget R&T;;Bretagne;R53;;Réseaux haut débit;3.73
2015;Communes et EPCI;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;41.21
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Pays de la Loire;R52;;Tous objectifs;23.94
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Pays de la Loire;R52;;Tous objectifs;5.92
2015;Collectivités territoriales;1;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Transferts de technologie (%);29.32
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Pays de la Loire;R52;;Tous objectifs;34.49
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Pays de la Loire;R52;;Tous objectifs;4.46
2015;Collectivités territoriales;0;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Equipement de laboratoires;6.9
2015;Collectivités territoriales;0;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Transferts de technologie;27.42
2015;Collectivités territoriales;0;Budget R&T;;Pays de la Loire;R52;;Culture et information scientifique;2.54
2015;Collectivités territoriales;0;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Tous objectifs;93.51
2015;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Budget non ventilé (%);0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Occitanie;R76;;Tous objectifs;13.5
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Aquitaine;R75;;Tous objectifs;3.5
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;21.76
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Occitanie;R76;;Tous objectifs;0.5
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;22.51
2015;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Projets de la recherche publique;7.57
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;34.92
2015;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Equipement de laboratoires (%);9.08
2015;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Equipement de laboratoires;9.87
2015;Conseils régionaux;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Tous objectifs;96.38
2015;Collectivités territoriales;1;Budget R&T;;Guyane;R03;;Projets de la recherche publique (%);19.47
2015;Collectivités territoriales;1;Budget R&T;;Guyane;R03;;Transferts de technologie (%);42.74
2015;Collectivités territoriales;1;Budget R&T;;Guyane;R03;;Equipement de laboratoires (%);0.0
2015;Collectivités territoriales;1;Budget R&T;;Guyane;R03;;Budget non ventilé (%);0.0
2015;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Projets de la recherche publique;1.6
2015;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Transferts de technologie (%);0.0
2015;Collectivités territoriales;1;Budget R&T;;La Réunion;R04;;Réseaux haut débit (%);0.0
2015;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Réseaux haut débit (%);0.0
2015;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Aides aux chercheurs;0.12
2015;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Budget non ventilé (%);0.0
2015;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Réseaux haut débit;0.0
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Mayotte;R06;;Tous objectifs;0.0
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Mayotte;R06;;Tous objectifs;0.0
2015;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Mayotte;R06;;Tous objectifs;0.0
2014;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Île-de-France;R11;;Tous objectifs;10.29
2014;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Île-de-France;R11;;Tous objectifs;14.84
2014;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Grand Est;R44;;Tous objectifs;2.64
2014;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;38.15
2014;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Culture et information scientifique (%);1.13
2014;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Projets de la recherche publique;15.16
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;21.7
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;5.39
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;5.0
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;14.62
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;4.57
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Culture et information scientifique;1.67
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Transferts de technologie (%);41.88
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Réseaux haut débit;1.41
2015;Conseils régionaux;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;98.3
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Corse;R94;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Corse;R94;;Tous objectifs;0.91
2015;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Culture et information scientifique (%);2.6
2015;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Projets de la recherche publique;5.21
2015;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Equipement de laboratoires (%);5.03
2015;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Equipement de laboratoires;4.91
2015;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Aides aux chercheurs (%);9.58
2015;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Réseaux haut débit;0.08
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Corse;R94;;Tous objectifs;0.0
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Corse;R94;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Centre-Val de Loire;R24;;Tous objectifs;0.0
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Centre-Val de Loire;R24;;Tous objectifs;2.3
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Centre-Val de Loire;R24;;Tous objectifs;1.55
2015;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;6.59
2015;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Culture et information scientifique (%);1.43
2015;Collectivités territoriales;0;Budget R&T;;Corse;R94;;Projets de la recherche publique;1.38
2015;Collectivités territoriales;1;Budget R&T;;Corse;R94;;Opérations immobilières (%);59.42
2015;Collectivités territoriales;0;Budget R&T;;Corse;R94;;Budget non ventilé;0.0
2015;Communes et EPCI;0;Budget R&T;;Centre-Val de Loire;R24;;Tous objectifs;2.46
2015;Conseils régionaux;0;Budget R&T;;Corse;R94;;Tous objectifs;7.79
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Hauts-de-France;R32;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Grand Est;R44;;Tous objectifs;13.57
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Grand Est;R44;;Tous objectifs;8.79
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Hauts-de-France;R32;;Tous objectifs;22.67
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;45.33
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;37.48
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Aides aux chercheurs;10.49
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Réseaux haut débit (%);0.0
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Budget non ventilé (%);0.0
2015;Conseils régionaux;0;Budget R&T;;Hauts-de-France;R32;;Tous objectifs;52.15
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Normandie;R28;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Normandie;R28;;Tous objectifs;7.05
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Aquitaine;R75;;Tous objectifs;0.34
2015;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Projets de la recherche publique (%);10.0
2015;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Equipement de laboratoires (%);14.8
2015;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Transferts de technologie (%);24.94
2015;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Réseaux haut débit;2.7
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Île-de-France;R11;;Tous objectifs;15.99
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Hauts-de-France;R32;;Tous objectifs;4.45
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;R11;;Tous objectifs;24.42
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;R11;;Tous objectifs;7.15
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;R11;;Tous objectifs;2.22
2015;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Hauts-de-France;R32;;Tous objectifs;16.04
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Projets de la recherche publique;14.28
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Transferts de technologie;73.89
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Opérations immobilières;20.76
2015;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Tous objectifs;72.57
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Bourgogne-Franche-Comté;R27;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Bourgogne-Franche-Comté;R27;;Tous objectifs;8.46
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne-Franche-Comté;R27;;Tous objectifs;3.81
2015;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Culture et information scientifique (%);4.72
2015;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Equipement de laboratoires;4.31
2015;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Budget non ventilé (%);0.0
2015;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Réseaux haut débit;0.0
2015;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Budget non ventilé;0.0
2015;Conseils régionaux;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Tous objectifs;23.88
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Bourgogne-Franche-Comté;R27;;Tous objectifs;0.0
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bretagne;R53;;Tous objectifs;1.42
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Bretagne;R53;;Tous objectifs;9.52
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Bretagne;R53;;Tous objectifs;1.6
2015;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Aides aux chercheurs (%);16.11
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Bretagne;R53;;Tous objectifs;3.73
2015;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;R24;;Transferts de technologie;9.07
2015;Collectivités territoriales;0;Budget R&T;;Bretagne;R53;;Equipement de laboratoires;6.17
2015;Collectivités territoriales;0;Budget R&T;;Bretagne;R53;;Transferts de technologie;35.92
2015;Collectivités territoriales;1;Budget R&T;;Bretagne;R53;;Budget non ventilé (%);2.51
2015;Collectivités territoriales;0;Budget R&T;;Bretagne;R53;;Tous objectifs;75.63
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;23.65
2015;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;23.36
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;10.79
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;6.06
2015;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Transferts de technologie (%);35.06
2015;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Opérations immobilières;34.45
2015;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Réseaux haut débit;0.01
2015;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Budget non ventilé (%);0.0
2015;Conseils départementaux;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Tous objectifs;2.28
2015;Communes et EPCI;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Tous objectifs;10.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Occitanie;R76;;Tous objectifs;9.1
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;25.1
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;23.92
2015;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Equipement de laboratoires (%);3.81
2015;Communes et EPCI;0;Budget R&T;;Occitanie;R76;;Tous objectifs;20.13
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Pays de la Loire;R52;;Tous objectifs;10.38
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Pays de la Loire;R52;;Tous objectifs;0.6
2015;Collectivités territoriales;1;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Projets de la recherche publique (%);17.24
2015;Collectivités territoriales;1;Budget R&T;;Provence-Alpes-Côte d'Azur;R93;;Opérations immobilières (%);35.9
2015;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Réseaux haut débit (%);1.38
2015;Collectivités territoriales;0;Budget R&T;;Pays de la Loire;R52;;Transferts de technologie;27.04
2015;Collectivités territoriales;0;Budget R&T;;Pays de la Loire;R52;;Réseaux haut débit;1.54
2015;Conseils régionaux;0;Budget R&T;;Pays de la Loire;R52;;Tous objectifs;89.05
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Provence-Alpes-Côte d'Azur;R93;;Tous objectifs;0.0
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Culture et information scientifique (%);1.02
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Opérations immobilières (%);32.7
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Réseaux haut débit (%);0.86
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Budget non ventilé;0.25
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Nouvelle-Aquitaine;R75;;Tous objectifs;16.3
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Nouvelle-Aquitaine;R75;;Tous objectifs;11.23
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Aquitaine;R75;;Tous objectifs;0.05
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;R75;;Tous objectifs;23.33
2015;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Culture et information scientifique (%);5.99
2015;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Culture et information scientifique;6.51
2015;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Equipement de laboratoires;14.78
2015;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Opérations immobilières;32.39
2015;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Réseaux haut débit (%);2.7
2015;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Aides aux chercheurs;5.85
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Centre-Val de Loire;R24;;Tous objectifs;4.02
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bretagne;R53;;Tous objectifs;1.14
2015;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;5.86
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;0.05
2015;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Projets de la recherche publique (%);53.02
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Bretagne;R53;;Tous objectifs;11.21
2015;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;R24;;Culture et information scientifique;0.57
2015;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;R24;;Equipement de laboratoires;1.87
2015;Conseils régionaux;0;Budget R&T;;Bretagne;R53;;Tous objectifs;44.52
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;0.0
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Île-de-France;R11;;Tous objectifs;0.0
2015;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Equipement de laboratoires (%);14.37
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Transferts de technologie (%);35.69
2015;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Transferts de technologie (%);41.41
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Equipement de laboratoires;25.64
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Opérations immobilières;45.14
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Transferts de technologie;34.03
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Réseaux haut débit;1.19
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Réseaux haut débit;0.0
2015;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;R11;;Tous objectifs;0.0
