Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Codes régions;Pays;Objectifs sur budget ventilé;Valeur
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Bretagne;R53;;Tous objectifs;4.99
2012;Communes et EPCI;0;Budget R&T;;Bretagne;R53;;Tous objectifs;15.53
2012;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Equipement de laboratoires (%);9.69
2012;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Aides aux chercheurs (%);10.48
2012;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Transferts de technologie (%);24.37
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Centre-Val de Loire;R24;;Tous objectifs;2.98
2011;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Projets de la recherche publique (%);27.4
2011;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;R24;;Projets de la recherche publique;9.49
2011;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Culture et information scientifique (%);1.34
2011;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;R24;;Budget non ventilé (%);0.0
2011;Communes et EPCI;0;Budget R&T;;Centre-Val de Loire;R24;;Tous objectifs;2.74
2011;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;27.39
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Centre-Val de Loire;R24;;Tous objectifs;0.67
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Centre-Val de Loire;R24;;Tous objectifs;1.63
2011;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Tous objectifs;17.78
2011;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Opérations immobilières (%);31.83
2011;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Projets de la recherche publique (%);10.16
2011;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Réseaux haut débit (%);0.68
2011;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;23.46
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Grand Est;R44;;Tous objectifs;0.02
2011;Collectivités territoriales;1;Budget R&T;;Corse;R94;;Opérations immobilières (%);0.0
